Date,StringencyIndex_WeightedAverage,Tweet_CPL,Tweet_AS,Tweet_Affect,Tweet_tone_pos,Tweet_tone_neg,Tweet_emotion,Tweet_emo_pos,Tweet_emo_neg,Tweet_emo_anx,Tweet_emo_anger,Tweet_emo_sad,POLICY_school_closures,POLICY_social_distancing,POLICY_vaccination,POLICY_china,POLICY_masking,POLICY_quarantining,POLICY_testing,POLICY_handwashing,POLICY_wfh,POLICY_healthcare_workers,Reply_swear,Reply_Affect,Reply_tone_pos,Reply_tone_neg,Reply_emotion,Reply_emo_pos,Reply_emo_neg,Reply_emo_anx,Reply_emo_anger,Reply_emo_sad,State
2020-03-01,13.89,1.55,0.0,3.5500000000000003,2.7733333333333334,0.7766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.17075757575757575,6.772727272727273,5.969545454545454,0.5715151515151515,0.48045454545454547,0.1484848484848485,0.16969696969696968,0.0,0.0,0.0,IL
2020-03-02,13.89,0.0,0.7866666666666667,4.513333333333334,2.018333333333333,2.495,1.2066666666666668,0.49,0.7166666666666668,0.0,0.0,0.3466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,0.3689814814814815,5.414273544973544,3.5997857142857144,1.3832365079365079,0.5618952380952381,0.3039190476190476,0.19535714285714287,0.12083333333333333,0.0,0.0,IL
2020-03-03,13.89,0.0,0.0,2.671666666666667,1.7816666666666665,0.89,0.4633333333333333,0.0,0.4633333333333333,0.4633333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.7479137529137528,5.38955710955711,3.0544376456876456,1.7307634032634034,1.131803613053613,0.6481235431235431,0.4836800699300699,0.09916666666666667,0.0,0.09916666666666667,IL
2020-03-04,13.89,0.26,0.8175,3.3725,2.1574999999999998,1.21625,0.6074999999999999,0.26,0.3475,0.3475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12625,5.642251984126984,2.7343353174603178,2.693650793650794,2.2519444444444443,0.43375,1.6974999999999998,0.71375,0.0,0.06375,IL
2020-03-05,13.89,0.589,0.421,5.673,4.277,1.396,0.286,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.36626839826839824,6.374284523809524,4.067309956709957,1.9297555194805196,1.877163961038961,1.1442535714285715,0.5752341991341992,0.11116666666666666,0.06913333333333332,0.07867619047619048,IL
2020-03-06,13.89,0.0,0.8133333333333334,10.356666666666667,8.75,1.6066666666666667,2.9966666666666666,2.183333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,6.504074074074073,2.974047619047619,3.5305026455026454,1.0383597883597881,0.5235449735449735,0.5148148148148147,0.13703703703703704,0.2644444444444444,0.11333333333333333,IL
2020-03-07,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IL
2020-03-08,13.89,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06188888888888889,5.057888888888889,1.2934444444444442,3.735333333333333,3.102777777777778,0.09666666666666666,2.9443333333333332,0.05844444444444444,0.4766666666666666,2.38,IL
2020-03-09,13.89,0.0,2.004285714285714,4.32,4.32,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14169238427078149,9.944580701238367,7.523512287132148,2.2796024111196584,2.6947325580343002,2.1583593435600403,0.5363732144742598,0.19720383275261325,0.16233766233766236,0.014880952380952382,IL
2020-03-10,13.89,1.6022222222222222,0.0,3.0188888888888887,2.145555555555555,0.8733333333333333,0.5644444444444444,0.0,0.5644444444444444,0.0,0.2644444444444444,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.14906847781847782,5.457795131822909,3.9180639782028672,1.3365386311219645,0.8151071767738434,0.3126755189255189,0.42196869488536154,0.15753679962013298,0.10606481481481482,0.0,IL
2020-03-11,13.89,0.2846153846153846,1.06,4.067692307692308,3.081538461538462,0.9853846153846154,0.5169230769230769,0.0,0.5169230769230769,0.17076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.2274909648774244,5.652905176063042,3.428351682531215,1.9074044333388456,1.6352452956573578,1.0282530673748371,0.46991475119929393,0.16597956192332658,0.0022326454033771105,0.00880165488045413,IL
2020-03-12,13.89,0.3292,0.9351999999999999,2.908,1.8536000000000001,1.0544,1.0368000000000002,0.3528,0.6836,0.2352,0.08,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.08,0.0,0.04,0.0,1.0311653602090332,8.398152259735655,5.654829376008869,1.970156862211745,1.6502031134514576,1.2643370146350719,0.3759190127849332,0.16356461680779905,0.01096808510638298,0.08770859081097748,IL
